<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
RUR,D,20110902,0000,29.115,0
RUR,D,20110903,0000,29.143,0
RUR,D,20110904,0000,29.136,0
RUR,D,20110905,0000,29.496,0
RUR,D,20110906,0000,29.6325,0
RUR,D,20110907,0000,29.4435,0
RUR,D,20110908,0000,29.694,0
RUR,D,20110909,0000,30.127,0
RUR,D,20110910,0000,29.997,0
RUR,D,20110911,0000,30.071,0
RUR,D,20110912,0000,30.275,0
RUR,D,20110913,0000,30.215,0
RUR,D,20110914,0000,30.4395,0
RUR,D,20110915,0000,30.3987,0
RUR,D,20110916,0000,30.5287,0
RUR,D,20110917,0000,30.545,0
RUR,D,20110918,0000,30.545,0
RUR,D,20110919,0000,31.275,0
RUR,D,20110920,0000,31.432,0
RUR,D,20110921,0000,31.62,0
RUR,D,20110922,0000,31.998,0
RUR,D,20110923,0000,32.023,0
RUR,D,20110924,0000,32.098,0
RUR,D,20110925,0000,32.046,0
RUR,D,20110926,0000,32.3605,0
RUR,D,20110927,0000,31.735,0
RUR,D,20110928,0000,31.79,0
RUR,D,20110929,0000,31.9195,0
RUR,D,20110930,0000,32.199,0
RUR,D,20111001,0000,32.249,0
RUR,D,20111002,0000,32.232,0
RUR,D,20111003,0000,32.6185,0
RUR,D,20111004,0000,32.6545,0
RUR,D,20111005,0000,32.512,0
RUR,D,20111006,0000,32.298,0
RUR,D,20111007,0000,32.128,0
RUR,D,20111008,0000,32.198,0
RUR,D,20111009,0000,32.208,0
RUR,D,20111010,0000,31.512,0
RUR,D,20111011,0000,31.4915,0
RUR,D,20111012,0000,31.0815,0
RUR,D,20111013,0000,31.1495,0
RUR,D,20111014,0000,30.872,0
RUR,D,20111015,0000,30.865,0
RUR,D,20111016,0000,30.877,0
RUR,D,20111017,0000,30.9315,0
RUR,D,20111018,0000,31.1025,0
RUR,D,20111019,0000,31.049,0
RUR,D,20111020,0000,31.422,0
RUR,D,20111021,0000,31.162,0
RUR,D,20111022,0000,31.095,0
RUR,D,20111023,0000,31.095,0
RUR,D,20111024,0000,30.505,0
RUR,D,20111025,0000,30.5435,0
RUR,D,20111026,0000,30.6075,0
RUR,D,20111027,0000,29.9115,0
RUR,D,20111028,0000,29.727,0
RUR,D,20111029,0000,29.69,0
RUR,D,20111030,0000,29.69,0
RUR,D,20111031,0000,30.229,0
